STEM,Non-STEM
2.88627907,2.45426087
2.777624521,2.472662539
2.90251773,2.449208234
2.778191882,2.481788491
2.842647059,2.447614827
2.827105263,2.481175097
2.759708029,2.460352221
2.72423221,2.418572561
2.775234657,2.44344086
2.714310345,2.424310216
2.69165493,2.413558844
2.702356902,2.392984638
2.699515571,2.431756272
