STEM,Non-STEM
2.486293436,2.926086957
2.458697318,2.912706883
2.480706714,2.912581156
2.562783883,2.933253106
2.523455882,2.91352657
2.509662921,2.962698289
2.549890511,2.975784239
2.541835206,2.924661417
2.542274368,2.889534706
2.496137931,2.900222387
2.476549296,2.902824107
2.473716216,2.878425254
2.496539792,2.908201285
