Course Quality,Instructor Quality,Difficulty,Amount Learned,Work Required
2.92548387096774,3.161642228739,2.47752392344498,2.84058612440191,2.46617790811339
2.92044592030361,3.19685958254269,2.53453125,2.84936298076923,2.47849002849003
2.91462143559489,3.17609636184857,2.4877027027027,2.84042997542998,2.46185840707965
2.93973938223938,3.20640926640927,2.52488512696493,2.88061668681983,2.47993236714976
2.91448484848485,3.18358585858586,2.48823827629911,2.8558174904943,2.44336363636364
2.94649173955296,3.21526724975705,2.56421972534332,2.88734096692112,2.49673469387755
2.946138996139,3.22371621621622,2.49196859903382,2.89711352657005,2.47923523717328
2.89887462981244,3.20785784797631,2.52351875808538,3.06540983606557,2.42690239043825
2.87599798387097,3.18816532258065,2.47290726817043,2.99385964912281,2.44884263959391
2.89280632411067,3.19914031620553,2.48686472819216,2.82222222222222,2.43030815109344
2.87740705433746,3.16966603053435,2.42684579439252,3.10730158730159,2.43122722914669
2.85639126305793,3.16031339031339,2.45033939393939,3.03193548387097,2.41244508118434
2.8674328081557,3.15645968489342,2.42972067039106,3.09464788732394,2.4564678471575
