School,Department,Difficulty,
SAS,CHEM,3.19909836065574
SAS,GCB,3.1455
SAS,LSMP,3.11428571428571
SAS,ARCH,3.07573913043478
SAS,PHYS,3.07121527777778
SAS,GREK,3.04285714285714
SAS,LGIC,3.03708333333333
Wharton,FNCE,2.97973782771536
SAS,INTR,2.96852631578947
SAS,MATH,2.94013215859031
SAS,INTG,2.939
SAS,BIOL,2.92545090180361
SEAS,ENM,2.92176470588235
SEAS,MSE,2.90675213675214
Wharton,REAL,2.8954954954955
SEAS,CBE,2.86620967741935
Wharton,ECON,2.83464751958225
Wharton,STAT,2.83331428571429
SAS,CAMB,2.81921052631579
SEAS,MEAM,2.7749356223176
SEAS,CIS,2.771
SEAS,NGG,2.75083333333333
SAS,LATN,2.72631578947368
SEAS,BE,2.72610441767068
SAS,ASTR,2.71507936507937
SAS,BPUB,2.70753424657534
Wharton,INSR,2.69638888888889
Wharton,ACCT,2.68234817813765
SEAS,ESE,2.67907462686567
SAS,BIBB,2.67401129943503
Wharton,BEPP,2.66469135802469
SAS,CHIN,2.63363636363636
SAS,PHIL,2.63007067137809
SAS,PSCI,2.62885286783042
SAS,AAMW,2.61392857142857
SAS,VLST,2.58866359447005
Wharton,HCMG,2.57590909090909
SAS,WRIT,2.52424599831508
Nursing,NURS,2.49845585215606
SAS,HIST,2.49728337236534
SAS,PPE,2.4878612716763
SAS,ARTH,2.48636363636364
SAS,BCHE,2.47090909090909
SAS,PSYC,2.46903225806452
SAS,FNAR,2.46052955665025
SAS,ANCH,2.43081632653061
Wharton,OPIM,2.41693370165746
SAS,CPLN,2.415
SEAS,CLST,2.39692307692308
SAS,COMM,2.38733870967742
SEAS,ENGR,2.3865
SAS,SPAN,2.38057692307692
SAS,EALC,2.38030973451327
Wharton,WH,2.35435897435897
SEAS,NETS,2.34818181818182
SAS,STSC,2.33790960451977
SAS,GSWS,2.33020408163265
SAS,GEOL,2.33011494252874
SAS,ENGL,2.32537856440511
Wharton,MKTG,2.31904587155963
SAS,LALS,2.31045
SAS,GRMN,2.30785714285714
SAS,LING,2.30430463576159
SAS,GSOC,2.30239130434783
SAS,FREN,2.2914371257485
SAS,URBS,2.28177057356608
Wharton,MGMT,2.2640412044374
SAS,RELS,2.26061946902655
SAS,ENVS,2.25856115107914
SAS,NELC,2.258
SAS,ARAB,2.25692307692308
SAS,LGST,2.25551422319475
SAS,COML,2.24691176470588
SAS,HSOC,2.24142857142857
SAS,CRIM,2.23890625
SAS,COGS,2.23833333333333
SAS,EDUC,2.23
SAS,AFRC,2.22963302752294
SEAS,VIPR,2.22666666666667
SAS,JWST,2.2256
SAS,HIND,2.22
SAS,RUSS,2.20916666666667
SAS,COLL,2.18825
SAS,ANTH,2.1660447761194
SAS,GAFL,2.1605
SAS,ASAM,2.15337662337662
SAS,SOCI,2.13908536585366
SAS,CINE,2.12458733205374
SEAS,EAS,2.08888059701493
SAS,PRTG,2.06555555555556
SAS,AFST,2.05163636363636
SAS,SAST,2.05105263157895
SAS,ITAL,2.00414285714286
SAS,MUSC,1.96833333333333
SAS,THAR,1.94589189189189
SAS,FOLK,1.93084210526316
SAS,IPD,1.80473684210526
SAS,HEBR,1.76421052631579
SAS,SLAV,1.74071428571429
Wharton,BFMD,1.25461538461538
