STEM,Non-STEM
2.682007722,3.150948617
2.663563218,3.179102862
2.689575972,3.159794141
2.782161172,3.181180124
2.746433824,3.165982287
2.692593985,3.221640747
2.756788321,3.231527884
2.77071161,3.214700787
2.768808664,3.195690313
2.705068966,3.195789474
2.71221831,3.168218794
2.703636364,3.164111675
2.696782007,3.188144183
