STEM,Non-STEM
2.846627907,2.461141002
2.793639847,2.479869281
2.840248227,2.469783019
2.805904059,2.4783859
2.826176471,2.486282421
2.848947368,2.493528855
2.801569343,2.46715713
2.78423221,2.471038835
2.850252708,2.455713004
2.821827586,2.435062167
2.80834507,2.399017857
2.803265993,2.382216405
2.76799308,2.406376335
